Unnamed: 0,name,type,state,found,faculty_count,department_count,has_grad,has_remote,review_rating,review_count,difficulty_SD,difficulty_rank
342,Showa Pharmaceutical University,Private,Tokyo To,1930-11,2,3,True,False,3.55,74.0,50.3,4
343,Joshibi University of Art And Design,Private,Tokyo To,1900-10,2,6,True,False,4.0,154.0,41.0,6
344,Sugino Fashion College,Private,Tokyo To,1964-04,3,4,True,False,3.51,45.0,35.5,7
345,Seijo University,Private,Tokyo To,1926-03,8,21,True,False,3.81,440.0,54.5,3
346,"University of The Sacred Heart, Tokyo",Private,Tokyo To,1916-04,2,15,True,False,4.33,148.0,45.0,5
347,Seisen University,Private,Tokyo To,1950-02,3,10,True,False,4.15,186.0,42.2,6
348,St.Luke’s International University,Private,Tokyo To,1920-10,3,4,True,False,4.41,42.0,59.7,2
349,Senshu University,Private,Tokyo To,1880-09,17,37,True,False,3.74,1185.0,50.2,4
350,Taisho University,Private,Tokyo To,1926-04,11,22,True,False,3.8,311.0,41.3,6
351,Daito Bunka University,Private,Tokyo To,1923-09,17,37,True,False,3.69,571.0,43.8,6
352,Takachiho University,Private,Tokyo To,1912-05,4,4,True,False,3.56,85.0,38.0,7
353,Takushoku University,Private,Tokyo To,1900-06,12,25,True,False,3.64,423.0,41.2,6
354,Tama Art University,Private,Tokyo To,1935-10,2,17,True,False,3.95,196.0,45.1,5
355,Chuo University,Private,Tokyo To,1885-07,17,61,True,True,3.91,2298.0,57.9,3
356,Tokai University,Private,Kanagawa Ken,1946-05,44,120,True,False,3.8,1430.0,43.4,6
357,Tokyo Medical University,Private,Tokyo To,1916-09,2,10,True,False,3.9,52.0,61.0,2
358,Tokyo Kasei University,Private,Tokyo To,1922-12,6,20,True,False,3.95,598.0,43.6,6
359,Tokyo Kasei Gakuin University,Private,Tokyo To,1963-01,3,8,True,False,3.57,98.0,36.3,7
360,Tokyo Dental College,Private,Tokyo To,1890-01,2,2,True,False,4.16,53.0,55.5,3
361,The Jikei University School of Medicine,Private,Tokyo To,1921-10,2,4,True,False,4.28,50.0,60.0,2
362,Tokyo Woman's Christian University,Private,Tokyo To,1918-03,3,10,True,False,3.93,442.0,52.3,4
363,Tokyo Women’s Medical University,Private,Tokyo To,1900-12,4,10,True,False,4.29,50.0,53.0,4
364,Tokyo Denki University,Private,Tokyo To,1939-04,11,36,True,False,3.68,376.0,49.3,4
365,Tokyo University of Agriculture,Private,Tokyo To,1891-03,12,51,True,False,3.94,814.0,47.3,5
366,Tokyo University of Pharmacy And Life Sciences,Private,Tokyo To,1880-11,4,9,True,False,3.82,212.0,48.2,5
367,Tokyo University of Science,Private,Tokyo To,1881-06,17,51,True,False,3.85,1128.0,57.2,3
368,Toho University,Private,Tokyo To,1925-03,9,20,True,False,3.98,267.0,48.1,5
369,Toyo University,Private,Tokyo To,1903-10,38,81,True,True,3.83,1870.0,51.2,4
370,Tokyo College of Music,Private,Tokyo To,1954-02,2,6,True,False,4.14,145.0,35.0,7
372,Nihon University,Private,Tokyo To,1889-10,40,149,True,True,3.71,3665.0,47.3,5
373,Nippon Medical School,Private,Tokyo To,1904-04,2,2,True,False,3.99,31.0,70.0,1
374,The Nippon Dental University,Private,Tokyo To,1907-06,4,4,True,False,3.16,35.0,46.3,5
375,Japan College of Social Work,Private,Tokyo To,1946-11,3,4,True,False,3.86,85.0,40.0,6
376,Japan Women’s University,Private,Tokyo To,1900-12,10,35,True,True,4.09,748.0,53.3,4
377,Japan Women’s College of Physical Education,Private,Tokyo To,1922-04,2,7,True,False,4.0,213.0,35.5,7
378,Nippon Sport Science University,Private,Tokyo To,1941-03,9,16,True,False,4.03,382.0,40.0,6
379,Japan Lutheran College,Private,Tokyo To,1909-09,2,3,True,False,3.97,35.0,35.7,7
380,Bunka Gakuen University,Private,Tokyo To,1964-01,5,11,True,False,4.08,143.0,41.2,6
381,Hosei University,Private,Tokyo To,1903-08,35,74,True,True,3.89,2242.0,58.7,3
